YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,T2M,RH2M,WS2M,country,UV_B_W_m2_280_4000,UV_A_W_m2_280_4000,Blue_W_m2_280_4000,Green_W_m2_280_4000,Red_W_m2_280_4000,FarRed_W_m2_280_4000,NIR_W_m2_280_4000,SW_IR_W_m2_280_4000,IR_Tail_W_m2_280_4000,crop,m49_code,Unit,yield_t_ha
2020,1,2,23,0.0,0.0,0.0,5.79,97.66,5.44,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,3,0,0.0,0.0,0.0,5.84,98.12,5.06,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,3,1,0.0,0.0,0.0,5.79,98.25,4.99,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,3,2,0.0,0.0,0.0,5.81,97.89,5.14,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,3,3,0.0,0.0,0.0,5.89,96.97,5.54,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,3,4,0.0,0.0,0.0,5.96,96.12,5.68,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,3,5,0.0,0.0,0.0,5.93,95.8,5.55,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,3,6,0.0,0.0,0.0,5.94,95.71,5.86,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,3,7,0.0,0.0,0.0,6.06,95.58,6.29,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,3,8,0.08,0.18,0.07,6.28,95.31,6.33,Belgium,4.923293209184e-05,0.0035881038522964,0.01103878824293,0.0119596310804516,0.0110324407685077,0.0047037032717158,0.021439074300974,0.0150345289789864,0.0006202625908848,Tomatoes,'056,kg/ha,502419.4
2020,1,3,9,0.19,0.5,0.12,6.61,94.83,6.06,Belgium,0.0001169282137181,0.0085217466492041,0.0262171220769589,0.0284041238160726,0.0262020468252058,0.0111712952703251,0.0509178014648134,0.0357070063250927,0.0014731236533514,Tomatoes,'056,kg/ha,502419.4
2020,1,3,10,0.19,0.76,0.14,7.73,93.64,6.25,Belgium,0.0001169282137181,0.0085217466492041,0.0262171220769589,0.0284041238160726,0.0262020468252058,0.0111712952703251,0.0509178014648134,0.0357070063250927,0.0014731236533514,Tomatoes,'056,kg/ha,502419.4
2020,1,3,11,0.27,0.88,0.21,9.1,91.96,6.08,Belgium,0.0001661611458099,0.0121098505015006,0.0372559103198889,0.0403637548965243,0.0372344875937135,0.015874998542041,0.0723568757657874,0.0507415353040791,0.0020933862442362,Tomatoes,'056,kg/ha,502419.4
2020,1,3,12,0.28,0.84,0.19,9.78,89.82,6.18,Belgium,0.0001723152623214,0.0125583634830377,0.0386357588502552,0.0418587087815807,0.0386135426897769,0.0164629614510055,0.0750367600534092,0.0526208514264524,0.0021709190680968,Tomatoes,'056,kg/ha,502419.4
2020,1,3,13,0.17,0.66,0.14,9.72,90.71,5.94,Belgium,0.0001046199806951,0.00762472068613,0.0234574250162264,0.0254142160459597,0.0234439366330788,0.0099953694523962,0.0455580328895699,0.0319483740803461,0.0013180580056302,Tomatoes,'056,kg/ha,502419.4
2020,1,3,14,0.12,0.35,0.1,9.39,93.06,5.45,Belgium,7.384939813775999e-05,0.0053821557784447,0.0165581823643951,0.0179394466206774,0.0165486611527615,0.0070555549075738,0.0321586114514611,0.0225517934684796,0.0009303938863272,Tomatoes,'056,kg/ha,502419.4
