ADMIN,ISO_A3,lat,lon
India,IND,22.62702506478382,79.31792079095631
Iceland,ISL,64.97377602309625,-18.575020890733786
Hungary,HUN,47.153458017346814,19.3807850900195
Honduras,HND,14.824630001380106,-86.61353122302718
Haiti,HTI,18.932934577723536,-72.68425010756184
Guyana,GUY,4.788030155758219,-58.96140628669817
Guinea-Bissau,GNB,12.046799304412051,-14.949676302986003
Guinea,GIN,10.431011536527603,-10.934069808600217
Guatemala,GTM,15.687488602832516,-90.35662835807312
Grenada,GRD,12.117239175547875,-61.68217371902928
Greece,GRC,39.029113079984,22.953404999943594
Ghana,GHA,7.945213298588037,-1.2166144499233311
Germany,DEU,51.01798040082076,10.360589216298312
Georgia,GEO,42.162256230267964,43.51888218540211
Gambia,GMB,13.449543061988175,-15.396213510884627
Gabon,GAB,-0.5862141979633763,11.786667918821182
France,-99,39.95833950473933,-6.21295430270877
Saint Pierre and Miquelon,SPM,46.91893817754934,-56.302966642315376
Wallis and Futuna,WLF,-13.886110115464897,-177.34077696152346
Saint Martin,MAF,18.088885080071886,-63.05972755213498
Saint Barthelemy,BLM,17.898803792400695,-62.8406766012458
French Polynesia,PYF,-14.645095228971597,-144.5869059230698
New Caledonia,NCL,-21.29740703903505,165.67515072365558
French Southern and Antarctic Lands,ATF,-49.24484413986184,69.19907215862355
Aland,ALA,60.21462618731225,19.953448283383263
Finland,FIN,64.19200112759894,26.134670663697268
Fiji,FJI,-17.425320831077528,165.42942944942618
Ethiopia,ETH,8.598998015665996,39.58107047166183
Estonia,EST,58.6637155904892,25.542586387586464
Eritrea,ERI,15.35398177423252,38.84982615332684
Equatorial Guinea,GNQ,1.7052642214001337,10.341299775368396
El Salvador,SLV,13.739052172638587,-88.87041015858037
Egypt,EGY,26.41796049714171,29.84978159161235
Ecuador,ECU,-1.4226676603941677,-78.73788688958372
Dominican Republic,DOM,18.89273774227622,-70.50368179446068
Dominica,DMA,15.439419171613391,-61.35762581904971
Djibouti,DJI,11.747871305800427,42.55936353865023
Greenland,GRL,72.52972185663452,-40.59639647315951
Faroe Islands,FRO,62.0517652591847,-6.880428465930777
Denmark,DNK,55.96588824983144,10.038363113264323
Czechia,CZE,49.72638622813529,15.31728000188931
Northern Cyprus,-99,35.26249927800569,33.56776655625806
Cyprus,CYP,34.91642560014231,33.00576734419609
Cuba,CUB,21.615720392913833,-78.98534482468729
Croatia,HRV,45.06660784442858,16.399688192451745
Ivory Coast,CIV,7.622312448769498,-5.567934726363919
Costa Rica,CRI,9.974838090823368,-84.18685723889367
Democratic Republic of the Congo,COD,-2.855915978005139,23.59533455529798
Republic of the Congo,COG,-0.8363480200220273,15.213044594929562
Comoros,COM,-11.877386742318627,43.681344815666144
Colombia,COL,3.897193058632611,-73.00285982552795
China,CHN,35.781518850654926,102.72757684648683
